United States,Denmark,152
United States,Martinique,43
United States,Saint Lucia,136
Ireland,United States,335
South Korea,United States,1048
United States,Italy,438
United States,Greece,23
"Bonaire, Sint Eustatius, and Saba",United States,58
France,United States,935
United States,Cyprus,1
United States,Montenegro,1
United States,Austria,63
Australia,United States,329
United States,New Zealand,74
United States,Suriname,34
United States,Malaysia,3
United States,Guyana,63
Taiwan,United States,266
Portugal,United States,127
Bolivia,United States,30
United States,Marshall Islands,39
Azerbaijan,United States,21
United States,The Bahamas,986
United States,Anguilla,38
Antigua and Barbuda,United States,126
Colombia,United States,873
United States,Israel,127
Ukraine,United States,14
Moldova,United States,1
United States,Finland,28
Haiti,United States,226
Philippines,United States,134
Sint Maarten,United States,325
Germany,United States,1468
United States,Germany,1336
United States,South Africa,40
United States,Latvia,15
Argentina,United States,180
United States,Fiji,25
United States,Hungary,3
Federated States of Micronesia,United States,69
Marshall Islands,United States,42
United States,Malta,2
Burkina Faso,United States,1
United States,Brazil,619
Turkey,United States,138
United States,Lithuania,1
United States,Georgia,1
United States,Ireland,344
Chile,United States,174
Ghana,United States,18
